pair,metric,n,slope,se_slope,t_slope,p_slope,slope_significant,intercept,se_intercept,t_intercept,p_intercept,intercept_significant,r2
YOLO_vs_UnpretrainedYOLO,metrics/mAP50(B),20,-0.03720162406015037,0.004350947961756844,-8.55023419887765,9.383677024874289e-08,True,0.7461220526315788,0.05212065197029822,14.315286252688633,2.8096283120927526e-11,True,0.8024290359012454
YOLO_vs_UnpretrainedYOLO,metrics/mAP50-95(B),20,-0.011629285714285712,0.0025745786712870395,-4.516966540576598,0.0002668278703258777,True,0.46542799999999995,0.03084126035883944,15.091082354765156,1.1647950430376485e-11,True,0.5312864562548907
YOLO_vs_UnpretrainedYOLO,speed/val_median_ms,20,-0.8194505259253712,0.19882326402699602,-4.1215022293070644,0.00064082412070233,True,15.203584472290359,2.0421772275162047,7.444791895354596,6.720361721990632e-07,True,0.48551996846119316
YOLO_vs_UnpretrainedYOLO,speed/val_p95_ms,20,-3.024098542609727,1.3331657354060005,-2.268359036161976,0.03584666038941837,True,47.01091261170285,13.693370937625096,3.4331146673702952,0.0029657228552134054,True,0.22230944366762262
YOLO_vs_UnpretrainedYOLO,speed/val_mean_ms,20,-1.2573045740004716,0.29466925255308407,-4.266833282084532,0.00046400322933763866,True,21.77870387943988,3.0266419785333687,7.1956657027512945,1.0710129208317987e-06,True,0.5028429958786563
YOLO_vs_UnpretrainedYOLO,speed/val_fps,20,0.01660176369448425,0.004066463924721297,4.082604444996296,0.0006987506751701641,True,-0.30699590272666843,0.04176794936056595,-7.3500353123993705,8.015833265718542e-07,True,0.4807840941378605
YOLO_vs_UnpretrainedYOLO,speed/val_throughput_fps,20,0.024119166316751508,0.005540793983758504,4.353016262191123,0.0003833179925725896,True,-0.414000917464741,0.05691126413885869,-7.274498708280555,9.233220412243422e-07,True,0.5128387369536951
YOLO_vs_UnpretrainedYOLO,speed/val_flops_g,20,0.0,0.0,,,False,0.0,0.0,,,False,0.0
FastYOLO_vs_UnpretrainedYOLO,metrics/precision(B),20,-0.03419914285714286,0.0032591727055236155,-10.493197491247539,4.236015728312503e-09,True,0.76466,0.03904211399188987,19.585517325184828,1.3822971248361062e-13,True,0.8594926678546833
FastYOLO_vs_UnpretrainedYOLO,metrics/recall(B),20,-0.02735415037593985,0.004527125990044664,-6.042277249648618,1.0336406707827603e-05,True,0.5987915789473683,0.05423111474252936,11.041476499058232,1.904233648403173e-09,True,0.6697799953126109
FastYOLO_vs_UnpretrainedYOLO,metrics/mAP50(B),20,-0.03817033834586466,0.0032715923196006847,-11.66720502343139,7.925762780191119e-10,True,0.754792052631579,0.03919089039386158,19.25937494775064,1.8458290235532582e-13,True,0.8832106733328707
FastYOLO_vs_UnpretrainedYOLO,metrics/mAP50-95(B),20,-0.011915075187969925,0.0016185740335065211,-7.3614644380256085,7.846698258514948e-07,True,0.45322778947368425,0.019389138787698004,23.375344023079954,6.422785505910113e-15,True,0.7506619878245181
FastYOLO_vs_UnpretrainedYOLO,speed/val_median_ms,20,0.00872202987845806,0.2094810864844579,0.04163635975367722,0.9672469607922327,False,-112.82225725734678,2.151647124935172,-52.43529756801829,3.874982216222066e-21,True,9.630108373803736e-05
FastYOLO_vs_UnpretrainedYOLO,speed/val_p95_ms,20,-0.6183163047896415,0.9422167612787568,-0.6562357306725001,0.5199740270921582,False,-128.71760215921543,9.67780919745029,-13.30028310468523,9.46951669143293e-11,True,0.023365721948536367
FastYOLO_vs_UnpretrainedYOLO,speed/val_mean_ms,20,-0.17550986959778436,0.2511454644316236,-0.6988375043721657,0.4935851133324096,False,-114.98241675281704,2.579595253936702,-44.57382086485978,7.05992785688482e-20,True,0.026415187256641826
FastYOLO_vs_UnpretrainedYOLO,speed/val_fps,20,-0.007274930066125117,0.00649184507775005,-1.120625951327611,0.27717649917295795,False,5.0020251933042355,0.06667981358833457,75.01558453935637,6.326188495427747e-24,True,0.06521683639529885
FastYOLO_vs_UnpretrainedYOLO,speed/val_throughput_fps,20,-0.006103169815612373,0.007833581144833983,-0.7791034142331231,0.4460416307283308,False,5.001877789914165,0.08046121313906279,62.165080475101895,1.8392263235075747e-22,True,0.032622242198208196
FastYOLO_vs_UnpretrainedYOLO,speed/val_flops_g,20,0.0,1.452205678932628e-16,0.0,1.0,False,-20.352460800000006,1.4916068206099102e-15,-1.3644655226018606e+16,1.3689934931011752e-280,True,0.0
